Timestamp,Participant ID,Facial Emotion,Facial Confidence,Speech Emotion,Speech Confidence
2025-05-14 10:47:02,12,neutral,91.0116970539093,ang,0.0
2025-05-14 10:47:03,12,neutral,99.8147964477539,ang,0.0
2025-05-14 10:47:04,12,neutral,0.0,ang,0.0
2025-05-14 10:47:05,12,neutral,0.0,ang,0.0
2025-05-14 10:47:07,12,neutral,99.79186056803826,ang,0.715121328830719
2025-05-14 10:47:08,12,sad,52.08923531110497,ang,0.0
2025-05-14 10:47:10,12,fear,0.0,ang,0.7375586032867432
2025-05-14 10:47:11,12,neutral,0.0,ang,0.0
2025-05-14 10:47:12,12,neutral,83.93442630767822,ang,0.0
2025-05-14 10:47:13,12,sad,0.0,ang,0.0
2025-05-14 10:47:14,12,sad,0.0,ang,0.0
2025-05-14 10:47:16,12,neutral,95.78718543052673,ang,0.8324145078659058
2025-05-14 10:47:17,12,neutral,96.24823331832886,ang,0.0
2025-05-14 10:47:18,12,happy,92.74476170539856,ang,0.0
2025-05-14 10:47:19,12,happy,70.61191201210022,ang,0.0
2025-05-14 10:47:20,12,happy,0.0,ang,0.0
2025-05-14 10:47:22,12,happy,0.0,ang,0.9852418303489685
2025-05-14 10:47:23,12,happy,0.0,neu,0.0
2025-05-14 10:47:24,12,neutral,0.0,neu,0.0
2025-05-14 10:47:25,12,neutral,0.0,neu,0.0
2025-05-14 10:47:27,12,happy,0.0,neu,0.0
2025-05-14 10:47:28,12,neutral,48.475855770605115,neu,0.0
2025-05-14 10:47:29,12,neutral,85.13148427009583,neu,0.0
2025-05-14 10:47:31,12,neutral,88.38471701054078,neu,0.9797082543373108
2025-05-14 10:47:32,12,neutral,80.42148831018736,ang,0.0
2025-05-14 10:47:33,12,neutral,92.89939488179745,ang,0.0
2025-05-14 10:47:34,12,neutral,0.0,ang,0.0
2025-05-14 10:47:36,12,neutral,0.0,ang,0.0
2025-05-14 10:47:37,12,neutral,0.0,ang,0.0
2025-05-14 10:47:38,12,neutral,0.0,ang,0.0
2025-05-14 10:47:40,12,neutral,0.0,ang,0.7712231278419495
2025-05-14 10:47:41,12,neutral,0,ang,0.0
2025-05-14 10:47:43,12,neutral,0,ang,0.9990360736846924
2025-05-14 10:47:44,12,neutral,0.0,ang,0.0
